title,genres,director
The Shawshank Redemption,['Drama'],Frank Darabont
The Godfather,"['Crime', 'Drama']",Francis Ford Coppola
The Dark Knight,"['Action', 'Crime', 'Drama']",Christopher Nolan
The Godfather: Part II,"['Crime', 'Drama']",Francis Ford Coppola
12 Angry Men,"['Crime', 'Drama']",Sidney Lumet
Schindler's List,"['Biography', 'Drama', 'History']",Steven Spielberg
The Lord of the Rings: The Return of the King,"['Action', 'Adventure', 'Drama']",Peter Jackson
Pulp Fiction,"['Crime', 'Drama']",Quentin Tarantino
The Lord of the Rings: The Fellowship of the Ring,"['Action', 'Adventure', 'Drama']",Peter Jackson
"Il Buono, Il Brutto, Il Cattivo","['Adventure', 'Western']",Sergio Leone
Forrest Gump,"['Drama', 'Romance']",Robert Zemeckis
Fight Club,['Drama'],David Fincher
Inception,"['Action', 'Adventure', 'Sci-Fi']",Christopher Nolan
The Lord of the Rings: The Two Towers,"['Action', 'Adventure', 'Drama']",Peter Jackson
Star Wars: Episode V - The Empire Strikes Back,"['Action', 'Adventure', 'Fantasy']",Irvin Kershner
The Matrix,"['Action', 'Sci-Fi']","Lana Wachowski,Lilly Wachowski"
Goodfellas,"['Biography', 'Crime', 'Drama']",Martin Scorsese
One Flew Over the Cuckoo's Nest,['Drama'],Milos Forman
Se7en,"['Crime', 'Drama', 'Mystery']",David Fincher
Shichinin No Samurai,"['Action', 'Drama']",Akira Kurosawa
It's a Wonderful Life,"['Drama', 'Family', 'Fantasy']",Frank Capra
The Silence of the Lambs,"['Crime', 'Drama', 'Thriller']",Jonathan Demme
City of God,"['Crime', 'Drama']","Fernando Meirelles,Kátia Lund"
Saving Private Ryan,"['Drama', 'War']",Steven Spielberg
Life Is Beautiful,"['Comedy', 'Drama', 'Romance']",Roberto Benigni
The Green Mile,"['Crime', 'Drama', 'Fantasy']",Frank Darabont
Star Wars,"['Action', 'Adventure', 'Fantasy']",George Lucas
Interstellar,"['Adventure', 'Drama', 'Sci-Fi']",Christopher Nolan
Terminator 2: Judgment Day,"['Action', 'Sci-Fi']",James Cameron
Back to the Future,"['Adventure', 'Comedy', 'Sci-Fi']",Robert Zemeckis
Spirited Away,"['Animation', 'Adventure', 'Family']",Hayao Miyazaki
Psycho,"['Horror', 'Mystery', 'Thriller']",Alfred Hitchcock
The Pianist,"['Biography', 'Drama', 'Music']",Roman Polanski
Léon,"['Action', 'Crime', 'Drama']",Luc Besson
Parasite,"['Comedy', 'Drama', 'Horror']",Bong Joon Ho
The Lion King,"['Animation', 'Adventure', 'Drama']","Roger Allers,Rob Minkoff"
American History X,['Drama'],Tony Kaye
Gladiator,"['Action', 'Adventure', 'Drama']",Ridley Scott
The Usual Suspects,"['Crime', 'Drama', 'Mystery']",Bryan Singer
The Departed,"['Crime', 'Drama', 'Thriller']",Martin Scorsese
The Prestige,"['Drama', 'Mystery', 'Thriller']",Christopher Nolan
Casablanca,"['Drama', 'Romance', 'War']",Michael Curtiz
Whiplash,"['Drama', 'Music']",Damien Chazelle
Intouchables,"['Biography', 'Comedy', 'Drama']","Olivier Nakache,Éric Toledano"
Modern Times,"['Comedy', 'Drama', 'Romance']",Charles Chaplin
C'era Una Volta Il West,['Western'],Sergio Leone
Seppuku,"['Action', 'Drama', 'Mystery']",Masaki Kobayashi
Grave of the Fireflies,"['Animation', 'Drama', 'War']",Isao Takahata
Rear Window,"['Mystery', 'Thriller']",Alfred Hitchcock
Alien,"['Horror', 'Sci-Fi']",Ridley Scott
City Lights,"['Comedy', 'Drama', 'Romance']",Charles Chaplin
Cinema Paradiso,"['Drama', 'Romance']",Giuseppe Tornatore
Memento,"['Mystery', 'Thriller']",Christopher Nolan
Apocalypse Now,"['Drama', 'Mystery', 'War']",Francis Ford Coppola
Everything Everywhere All at Once,"['Action', 'Adventure', 'Comedy']","Dan Kwan,Daniel Scheinert"
Raiders of the Lost Ark,"['Action', 'Adventure']",Steven Spielberg
Django Unchained,"['Drama', 'Western']",Quentin Tarantino
WALL·E,"['Animation', 'Adventure', 'Family']",Andrew Stanton
Das Leben Der Anderen,"['Drama', 'Mystery', 'Thriller']",Florian Henckel von Donnersmarck
Sunset Blvd.,"['Drama', 'Film-Noir']",Billy Wilder
Paths of Glory,"['Drama', 'War']",Stanley Kubrick
The Shining,"['Drama', 'Horror']",Stanley Kubrick
The Great Dictator,"['Comedy', 'Drama', 'War']",Charles Chaplin
Witness for the Prosecution,"['Crime', 'Drama', 'Mystery']",Billy Wilder
Avengers: Infinity War,"['Action', 'Adventure', 'Sci-Fi']","Anthony Russo,Joe Russo"
Alien 2,"['Action', 'Adventure', 'Sci-Fi']",James Cameron
American Beauty,['Drama'],Sam Mendes
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"['Comedy', 'War']",Stanley Kubrick
The Dark Knight Rises,"['Action', 'Crime', 'Drama']",Christopher Nolan
Spider-Man: Into the Spider-Verse,"['Animation', 'Action', 'Adventure']","Bob Persichetti,Peter Ramsey,Rodney Rothman"
Joker,"['Crime', 'Drama', 'Thriller']",Todd Phillips
Oldeuboi,"['Action', 'Drama', 'Mystery']",Park Chan-wook
Braveheart,"['Biography', 'Drama', 'History']",Mel Gibson
Amadeus,"['Biography', 'Drama', 'Music']",Milos Forman
Toy Story,"['Animation', 'Adventure', 'Comedy']",John Lasseter
Das Boot,"['Drama', 'War']",Wolfgang Petersen
Coco,"['Animation', 'Adventure', 'Comedy']","Lee Unkrich,Adrian Molina"
Inglourious Basterds,"['Adventure', 'Drama', 'War']",Quentin Tarantino
Mononoke-hime,"['Animation', 'Action', 'Adventure']",Hayao Miyazaki
Once Upon a Time in America,"['Crime', 'Drama']",Sergio Leone
Avengers: Endgame,"['Action', 'Adventure', 'Drama']","Anthony Russo,Joe Russo"
Good Will Hunting,"['Drama', 'Romance']",Gus Van Sant
Requiem for a Dream,['Drama'],Darren Aronofsky
Toy Story 3,"['Animation', 'Adventure', 'Comedy']",Lee Unkrich
Singin' in the Rain,"['Comedy', 'Musical', 'Romance']","Stanley Donen,Gene Kelly"
Kimi No Na Wa.,"['Animation', 'Drama', 'Fantasy']",Makoto Shinkai
Star Wars: Episode VI - Return of the Jedi,"['Action', 'Adventure', 'Fantasy']",Richard Marquand
3 Idiots,"['Comedy', 'Drama']",Rajkumar Hirani
2001: A Space Odyssey,"['Adventure', 'Sci-Fi']",Stanley Kubrick
Reservoir Dogs,"['Crime', 'Drama', 'Thriller']",Quentin Tarantino
Eternal Sunshine of the Spotless Mind,"['Drama', 'Romance', 'Sci-Fi']",Michel Gondry
Tengoku to Jigoku,"['Crime', 'Drama', 'Mystery']",Akira Kurosawa
Citizen Kane,"['Drama', 'Mystery']",Orson Welles
Capharnaüm,['Drama'],Nadine Labaki
Lawrence of Arabia,"['Adventure', 'Biography', 'Drama']",David Lean
M - Eine Stadt sucht einen Mörder,"['Crime', 'Mystery', 'Thriller']",Fritz Lang
Jagten,['Drama'],Thomas Vinterberg
North by Northwest,"['Adventure', 'Mystery', 'Thriller']",Alfred Hitchcock
Spider-Man: No Way Home,"['Action', 'Adventure', 'Fantasy']",Jon Watts
Vertigo,"['Mystery', 'Romance', 'Thriller']",Alfred Hitchcock
Le fabuleux destin d'Amélie Poulain,"['Comedy', 'Romance']",Jean-Pierre Jeunet
A Clockwork Orange,"['Crime', 'Sci-Fi']",Stanley Kubrick
Idi I Smotri,"['Drama', 'Thriller', 'War']",Elem Klimov
Full Metal Jacket,"['Drama', 'War']",Stanley Kubrick
Double Indemnity,"['Crime', 'Drama', 'Film-Noir']",Billy Wilder
The Apartment,"['Comedy', 'Drama', 'Romance']",Billy Wilder
Scarface,"['Crime', 'Drama']",Brian De Palma
Taxi Driver,"['Crime', 'Drama']",Martin Scorsese
To Kill a Mockingbird,"['Crime', 'Drama']",Robert Mulligan
The Sting,"['Comedy', 'Crime', 'Drama']",George Roy Hill
Ikiru,['Drama'],Akira Kurosawa
Hamilton,"['Biography', 'Drama', 'History']",Thomas Kail
L.A. Confidential,"['Crime', 'Drama', 'Mystery']",Curtis Hanson
Up,"['Animation', 'Adventure', 'Comedy']","Pete Docter,Bob Peterson"
Heat,"['Action', 'Crime', 'Drama']",Michael Mann
Metropolis,"['Drama', 'Sci-Fi']",Fritz Lang
Snatch,"['Comedy', 'Crime']",Guy Ritchie
Jodaeiye Nader Az Simin,['Drama'],Asghar Farhadi
Die Hard,"['Action', 'Thriller']",John McTiernan
Incendies,"['Drama', 'Mystery', 'War']",Denis Villeneuve
Indiana Jones and the Last Crusade,"['Action', 'Adventure']",Steven Spielberg
Ladri Di Biciclette,['Drama'],Vittorio De Sica
1917,"['Action', 'Drama', 'War']",Sam Mendes
Taare Zameen Par,"['Drama', 'Family']","Aamir Khan,Amole Gupte"
Der Untergang,"['Biography', 'Drama', 'History']",Oliver Hirschbiegel
Per qualche dollaro in più,['Western'],Sergio Leone
Batman Begins,"['Action', 'Crime', 'Drama']",Christopher Nolan
Dangal,"['Action', 'Biography', 'Drama']",Nitesh Tiwari
The Kid,"['Comedy', 'Drama', 'Family']",Charles Chaplin
Some Like It Hot,"['Comedy', 'Music', 'Romance']",Billy Wilder
The Father,"['Drama', 'Mystery']",Florian Zeller
All About Eve,['Drama'],Joseph L. Mankiewicz
Green Book,"['Biography', 'Comedy', 'Drama']",Peter Farrelly
The Wolf of Wall Street,"['Biography', 'Comedy', 'Crime']",Martin Scorsese
Judgment at Nuremberg,"['Drama', 'War']",Stanley Kramer
Unforgiven,"['Drama', 'Western']",Clint Eastwood
El Laberinto Del Fauno,"['Drama', 'Fantasy', 'War']",Guillermo del Toro
Casino,"['Crime', 'Drama']",Martin Scorsese
Ran,"['Action', 'Drama', 'War']",Akira Kurosawa
There Will Be Blood,['Drama'],Paul Thomas Anderson
Monty Python and the Holy Grail,"['Adventure', 'Comedy', 'Fantasy']","Terry Gilliam,Terry Jones"
A Beautiful Mind,"['Biography', 'Drama']",Ron Howard
The Sixth Sense,"['Drama', 'Mystery', 'Thriller']",M. Night Shyamalan
The Truman Show,"['Comedy', 'Drama']",Peter Weir
Yôjinbô,"['Action', 'Drama', 'Thriller']",Akira Kurosawa
The Treasure of the Sierra Madre,"['Adventure', 'Drama', 'Western']",John Huston
Rashōmon,"['Crime', 'Drama', 'Mystery']",Akira Kurosawa
The Great Escape,"['Adventure', 'Drama', 'History']",John Sturges
Shutter Island,"['Mystery', 'Thriller']",Martin Scorsese
Kill Bill: Vol. 1,"['Action', 'Crime', 'Drama']",Quentin Tarantino
Jurassic Park,"['Action', 'Adventure', 'Sci-Fi']",Steven Spielberg
No Country for Old Men,"['Crime', 'Drama', 'Thriller']","Ethan Coen,Joel Coen"
The Elephant Man,"['Biography', 'Drama']",David Lynch
Finding Nemo,"['Animation', 'Adventure', 'Comedy']","Andrew Stanton,Lee Unkrich"
Raging Bull,"['Biography', 'Drama', 'Sport']",Martin Scorsese
Chinatown,"['Drama', 'Mystery', 'Thriller']",Roman Polanski
Gone with the Wind,"['Drama', 'History', 'Romance']","Victor Fleming,George Cukor,Sam Wood"
V for Vendetta,"['Action', 'Drama', 'Sci-Fi']",James McTeigue
Inside Out,"['Animation', 'Adventure', 'Comedy']","Pete Docter,Ronnie Del Carmen"
"Lock, Stock and Two Smoking Barrels","['Action', 'Comedy', 'Crime']",Guy Ritchie
The Thing,"['Horror', 'Mystery', 'Sci-Fi']",John Carpenter
Dial M for Murder,"['Crime', 'Thriller']",Alfred Hitchcock
El Secreto De Sus Ojos,"['Drama', 'Mystery', 'Romance']",Juan José Campanella
The Bridge on the River Kwai,"['Adventure', 'Drama', 'War']",David Lean
Hauru No Ugoku Shiro,"['Animation', 'Adventure', 'Family']",Hayao Miyazaki
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']",Martin McDonagh
Trainspotting,['Drama'],Danny Boyle
Gran Torino,['Drama'],Clint Eastwood
Warrior,"['Action', 'Drama', 'Sport']",Gavin O&apos;Connor
Fargo,"['Crime', 'Thriller']","Joel Coen,Ethan Coen"
My Neighbour Totoro,"['Animation', 'Comedy', 'Family']",Hayao Miyazaki
Prisoners,"['Crime', 'Drama', 'Mystery']",Denis Villeneuve
Million Dollar Baby,"['Drama', 'Sport']",Clint Eastwood
The Gold Rush,"['Adventure', 'Comedy', 'Drama']",Charles Chaplin
Blade Runner,"['Action', 'Drama', 'Sci-Fi']",Ridley Scott
On the Waterfront,"['Crime', 'Drama', 'Thriller']",Elia Kazan
Catch Me If You Can,"['Biography', 'Crime', 'Drama']",Steven Spielberg
The Third Man,"['Film-Noir', 'Mystery', 'Thriller']",Carol Reed
Bacheha-Ye Aseman,"['Drama', 'Family', 'Sport']",Majid Majidi
Ben-Hur,"['Adventure', 'Drama', 'History']",William Wyler
The General,"['Action', 'Adventure', 'Comedy']","Clyde Bruckman,Buster Keaton"
12 Years a Slave,"['Biography', 'Drama', 'History']",Steve McQueen
Smultronstället,"['Drama', 'Romance']",Ingmar Bergman
Gone Girl,"['Drama', 'Mystery', 'Thriller']",David Fincher
The Deer Hunter,"['Drama', 'War']",Michael Cimino
Before Sunrise,"['Drama', 'Romance']",Richard Linklater
Harry Potter and the Deathly Hallows: Part 2,"['Adventure', 'Fantasy', 'Mystery']",David Yates
In the Name of the Father,"['Biography', 'Crime', 'Drama']",Jim Sheridan
Mr. Smith Goes to Washington,"['Comedy', 'Drama']",Frank Capra
The Grand Budapest Hotel,"['Adventure', 'Comedy', 'Crime']",Wes Anderson
Le Salaire De La Peur,"['Adventure', 'Drama', 'Thriller']",Henri-Georges Clouzot
Sherlock Jr.,"['Action', 'Comedy', 'Romance']",Buster Keaton
Room,"['Drama', 'Thriller']",Lenny Abrahamson
Barry Lyndon,"['Adventure', 'Drama', 'War']",Stanley Kubrick
Salinui Chueok,"['Crime', 'Drama', 'Mystery']",Bong Joon Ho
Det Sjunde Inseglet,"['Drama', 'Fantasy']",Ingmar Bergman
Hacksaw Ridge,"['Biography', 'Drama', 'History']",Mel Gibson
Klaus,"['Animation', 'Adventure', 'Comedy']","Sergio Pablos,Carlos Martínez López"
Relatos Salvajes,"['Comedy', 'Drama', 'Thriller']",Damián Szifron
The Big Lebowski,"['Comedy', 'Crime']","Joel Coen,Ethan Coen"
How to Train Your Dragon,"['Animation', 'Action', 'Adventure']","Dean DeBlois,Chris Sanders"
Mad Max: Fury Road,"['Action', 'Adventure', 'Sci-Fi']",George Miller
Mary and Max,"['Animation', 'Comedy', 'Drama']",Adam Elliot
Pather Panchali,['Drama'],Satyajit Ray
Jaws,"['Adventure', 'Thriller']",Steven Spielberg
"Monsters, Inc.","['Animation', 'Adventure', 'Comedy']","Pete Docter,David Silverman,Lee Unkrich"
La passion de Jeanne d'Arc,"['Biography', 'Drama', 'History']",Carl Theodor Dreyer
Hotel Rwanda,"['Biography', 'Drama', 'History']",Terry George
Tôkyô monogatari,['Drama'],Yasujirô Ozu
Dead Poets Society,"['Comedy', 'Drama']",Peter Weir
Platoon,"['Drama', 'War']",Oliver Stone
Rocky,"['Drama', 'Sport']",John G. Avildsen
Ford v. Ferrari,"['Action', 'Biography', 'Drama']",James Mangold
Stand by Me,"['Adventure', 'Drama']",Rob Reiner
The Terminator,"['Action', 'Sci-Fi']",James Cameron
Rush,"['Action', 'Biography', 'Drama']",Ron Howard
Spotlight,"['Biography', 'Crime', 'Drama']",Tom McCarthy
Into the Wild,"['Adventure', 'Biography', 'Drama']",Sean Penn
Network,['Drama'],Sidney Lumet
The Wizard of Oz,"['Adventure', 'Family', 'Fantasy']","Victor Fleming,George Cukor,Mervyn LeRoy"
Logan,"['Action', 'Drama', 'Sci-Fi']",James Mangold
Groundhog Day,"['Comedy', 'Drama', 'Fantasy']",Harold Ramis
Ratatouille,"['Animation', 'Adventure', 'Comedy']","Brad Bird,Jan Pinkava"
The Exorcist,['Horror'],William Friedkin
Before Sunset,"['Drama', 'Romance']",Richard Linklater
The Best Years of Our Lives,"['Drama', 'Romance', 'War']",William Wyler
The Incredibles,"['Animation', 'Action', 'Adventure']",Brad Bird
To Be or Not to Be,"['Comedy', 'Romance', 'War']",Ernst Lubitsch
La battaglia di Algeri,"['Drama', 'War']",Gillo Pontecorvo
Rebecca,"['Drama', 'Film-Noir', 'Mystery']",Alfred Hitchcock
The Grapes of Wrath,['Drama'],John Ford
Hachi: A Dog's Tale,"['Biography', 'Drama', 'Family']",Lasse Hallström
Cool Hand Luke,"['Crime', 'Drama']",Stuart Rosenberg
Amores perros,"['Drama', 'Thriller']",Alejandro G. Iñárritu
Dersu Uzala,"['Adventure', 'Biography', 'Drama']",Akira Kurosawa
The 400 Blows,"['Crime', 'Drama']",François Truffaut
Babam Ve Oglum,"['Drama', 'Family']",Cagan Irmak
Persona,"['Drama', 'Thriller']",Ingmar Bergman
Life of Brian,['Comedy'],Terry Jones
Pirates of the Caribbean: The Curse of the Black Pearl,"['Action', 'Adventure', 'Fantasy']",Gore Verbinski
La Haine,"['Crime', 'Drama']",Mathieu Kassovitz
The Sound of Music,"['Biography', 'Drama', 'Family']",Robert Wise
It Happened One Night,"['Comedy', 'Romance']",Frank Capra
Ah-ga-ssi,"['Drama', 'Romance', 'Thriller']",Park Chan-wook
Gandhi,"['Biography', 'Drama']",Richard Attenborough
Aladdin,"['Animation', 'Adventure', 'Comedy']","Ron Clements,John Musker"
The Help,['Drama'],Tate Taylor
Beauty and the Beast,"['Animation', 'Family', 'Fantasy']","Gary Trousdale,Kirk Wise"
Du rififi chez les hommes,"['Crime', 'Drama', 'Thriller']",Jules Dassin
Dances with Wolves,"['Adventure', 'Drama', 'Western']",Kevin Costner
